;Energy_5
2022-01-13 09:45:00+02:00;-1.4634504829479769
2022-01-13 10:00:00+02:00;-1.4634152583501894
2022-01-13 10:15:00+02:00;-1.4633715798489328
2022-01-13 10:30:00+02:00;-1.463274359959039
2022-01-13 10:45:00+02:00;-1.4631250076644198
2022-01-13 11:00:00+02:00;-1.462931976868544
2022-01-13 11:15:00+02:00;-1.462710766394438
2022-01-13 11:30:00+02:00;-1.462472648113394
2022-01-13 11:45:00+02:00;-1.4622345298323502
2022-01-13 12:00:00+02:00;-1.4619795037443681
2022-01-13 12:15:00+02:00;-1.4617329315598553
2022-01-13 12:30:00+02:00;-1.4614694515684044
2022-01-13 12:45:00+02:00;-1.4612228793838913
2022-01-13 13:00:00+02:00;-1.4609763071993784
2022-01-13 13:15:00+02:00;-1.460728326030954
2022-01-13 13:30:00+02:00;-1.4605000706372906
2022-01-13 13:45:00+02:00;-1.4602802691470962
